transaction_id,user_id,vehicle_id,location_id,product_id,price,quantity,total_cost,transaction_date
1,1,1,1,1,83.04,1.01,84,2020-08-21
2,1,1,1,1,83.04,1.01,84,2020-08-25
3,1,1,3,2,900.0,1.0,900,2020-08-25
4,1,1,1,1,83.04,1.01,84,2020-08-28
5,1,1,1,1,83.04,1.2,100,2020-08-30
6,1,1,1,1,84.75,1.18,100,2020-09-01
7,1,1,1,1,84.75,1.18,100,2020-09-04
8,1,1,4,3,100.0,1.0,100,2020-09-05
9,1,1,1,1,84.75,2.36,200,2020-09-08
10,1,1,1,1,84.75,1.18,100,2020-09-13
11,1,1,1,1,84.75,2.36,200,2020-09-17
12,1,1,1,1,84.75,2.36,200,2020-09-22
13,1,1,5,4,560.0,1.0,560,2020-09-24
14,1,1,1,1,84.75,2.36,200,2020-09-26
15,1,1,1,1,83.69,2.39,200,2020-10-04
16,1,1,1,1,83.69,1.19,100,2020-10-07
17,1,1,1,1,83.69,2.39,200,2020-10-15
18,1,1,1,1,83.69,2.39,200,2020-10-23
19,1,1,1,1,83.69,2.39,200,2020-10-28
20,1,1,1,1,83.69,1.19,100,2020-11-01
21,1,1,3,2,120.0,1.0,120,2020-11-01
22,1,1,1,1,83.69,2.39,200,2020-11-02
23,1,1,1,1,83.69,1.19,100,2020-11-05
24,1,1,1,1,83.69,2.39,200,2020-11-07
25,1,1,1,1,83.69,2.39,200,2020-11-11
26,1,1,1,1,83.69,1.19,100,2020-11-12
27,1,1,1,1,83.69,1.19,100,2020-11-15
28,1,1,1,1,83.69,2.39,200,2020-11-18
29,1,1,1,1,83.69,1.19,100,2020-11-23
30,1,1,1,1,83.69,1.19,100,2020-11-25
31,1,1,1,1,83.69,2.39,200,2020-11-20
32,1,1,1,1,85.09,2.35,200,2020-12-07
33,1,1,1,1,85.09,3.53,300,2020-12-12
34,1,1,6,1,85.09,0.59,50,2020-12-13
35,1,1,1,1,85.09,2.35,200,2020-12-15
36,1,1,1,1,85.09,2.35,200,2020-12-18
37,1,1,5,4,538.0,1.0,538,2020-12-23
38,1,1,1,1,85.09,2.35,200,2020-12-24
39,1,1,1,1,85.09,1.18,100,2020-12-30
40,1,1,1,1,86.51,2.31,200,2021-01-04
41,1,1,1,1,86.51,1.16,100,2021-01-09
42,1,1,1,1,86.51,2.31,200,2021-01-14
43,1,1,1,1,86.51,2.31,200,2021-01-22
44,1,1,1,1,89.21,2.24,200,2021-02-01
45,1,1,2,1,89.21,6.73,600,2021-02-04
46,1,1,1,1,89.21,1.12,100,2021-02-11
47,1,1,1,1,89.21,2.24,200,2021-02-13
48,1,1,1,1,89.21,2.24,200,2021-02-17
49,1,1,1,1,89.21,3.36,300,2021-02-26
50,1,1,1,1,94.22,2.12,200,2021-03-11
51,1,1,1,1,94.22,2.12,200,2021-03-19
52,1,1,1,1,94.22,2.12,200,2021-03-28
53,1,1,1,1,94.22,1.06,100,2021-03-31
54,1,1,1,1,93.59,2.14,200,2021-04-07
55,1,1,1,1,93.59,1.07,100,2021-04-17
56,1,1,1,1,93.59,1.07,100,2021-04-27
57,1,1,1,1,93.59,2.14,200,2021-05-07
58,1,1,1,1,97.64,2.05,200,2021-06-10
59,1,1,1,1,97.64,2.05,200,2021-06-17
60,1,1,1,1,97.64,1.02,100,2021-06-21
61,1,1,1,1,97.64,1.02,100,2021-06-22
62,1,1,1,1,97.64,2.05,200,2021-06-28
63,1,1,1,1,102.11,1.96,200,2021-07-02
64,1,1,1,1,102.11,0.98,100,2021-07-15
65,1,1,5,4,503.0,1.0,503,2021-07-15
66,1,1,1,1,102.11,2.94,300,2021-07-23
67,1,1,1,1,102.11,1.96,200,2021-07-31
68,1,1,1,1,105.25,1.9,200,2021-08-06
69,1,1,7,5,891.0,1.0,891,2021-08-08
70,1,1,1,1,105.25,1.9,200,2021-08-14
71,1,1,1,1,105.25,1.9,200,2021-08-28
72,1,1,1,1,104.84,1.91,200,2021-09-03
73,1,1,1,1,105.44,1.9,200,2021-10-22
74,1,1,1,1,113.56,1.76,200,2021-11-03
75,1,1,1,1,113.56,2.64,300,2021-11-12
76,1,1,1,1,113.56,1.76,200,2021-11-19
77,1,1,1,1,113.56,2.2,250,2021-11-23
78,1,1,1,1,100.58,1.99,200,2021-12-01
79,1,1,1,1,100.58,1.99,200,2021-12-06
80,1,1,1,1,100.58,1.99,200,2021-12-15
81,1,1,1,1,100.58,0.99,100,2021-12-21
